Lat,Lng,Depth,Mag,Sig,Place,Time,Month,Day,Year
-3.008,136.156,35.0,5.0,385,"Papua, Indonesia",2009-11-26 11:33:04.010,11,26,2009
13.627,92.784,39.2,5.1,400,"Andaman Islands, India region",2009-11-26 06:13:02.720,11,26,2009
-16.094,-173.076,10.0,5.2,416,Tonga,2009-11-25 10:05:52.740,11,25,2009
-12.29,165.994,35.0,5.0,385,Santa Cruz Islands,2009-11-24 22:36:09.830,11,24,2009
-45.5,-80.5,10.0,5.1,400,"off the coast of Aisen, Chile",2009-11-24 17:45:12.000,11,24,2009
-20.577,-174.024,10.0,5.1,400,Tonga,2009-11-24 13:32:10.840,11,24,2009
-20.693,-174.01,10.0,5.6,482,Tonga,2009-11-24 13:04:22.790,11,24,2009
-20.708,-174.035,18.0,6.8,715,Tonga,2009-11-24 12:47:15.660,11,24,2009
56.09,164.083,26.6,5.0,385,"Komandorskiye Ostrova, Russia region",2009-11-24 10:41:42.650,11,24,2009
13.125,145.138,59.7,5.0,386,Guam region,2009-11-24 02:45:59.450,11,24,2009
-12.616,166.251,35.0,5.7,500,Santa Cruz Islands,2009-11-23 18:36:34.350,11,23,2009
-46.481,165.286,12.0,5.3,432,off the west coast of the South Island of New Zealand,2009-11-23 11:53:34.510,11,23,2009
18.083,-105.597,34.8,5.6,482,"off the coast of Jalisco, Mexico",2009-11-23 06:08:39.600,11,23,2009
10.064,-61.042,50.6,5.2,418,"Columbus Channel, Trinidad and Tobago",2009-11-22 23:34:16.340,11,22,2009
10.026,-61.035,41.4,5.2,423,"Columbus Channel, Trinidad and Tobago",2009-11-22 22:51:00.100,11,22,2009
-31.569,179.467,435.7,6.2,591,Kermadec Islands region,2009-11-22 22:47:27.480,11,22,2009
-39.634,-74.967,7.0,5.9,537,"off the coast of Los Lagos, Chile",2009-11-22 22:07:48.220,11,22,2009
-17.794,-178.425,522.6,6.4,630,Fiji region,2009-11-22 07:48:20.610,11,22,2009
-31.407,-178.882,178.4,5.2,416,Kermadec Islands region,2009-11-21 22:52:17.250,11,21,2009
14.198,-92.165,65.8,5.1,400,offshore Guatemala,2009-11-21 21:18:46.930,11,21,2009
-15.452,-173.357,36.2,5.1,400,Tonga,2009-11-21 19:30:29.590,11,21,2009
45.679,142.387,304.9,5.0,385,"Hokkaido, Japan region",2009-11-21 04:16:22.790,11,21,2009
-29.753,-177.045,35.0,5.1,400,"Kermadec Islands, New Zealand",2009-11-20 23:15:57.090,11,20,2009
-0.18,-18.002,5.0,5.5,465,central Mid-Atlantic Ridge,2009-11-20 19:31:26.110,11,20,2009
10.576,-82.962,26.3,5.2,434,north of Panama,2009-11-20 17:22:28.600,11,20,2009
13.261,50.828,10.0,5.0,385,Gulf of Aden,2009-11-20 08:00:30.680,11,20,2009
30.762,83.448,19.0,5.0,385,western Xizang,2009-11-20 07:16:58.950,11,20,2009
-0.738,134.452,35.0,5.0,385,"near the north coast of Papua, Indonesia",2009-11-19 23:07:32.510,11,19,2009
-26.866,-63.3,566.3,5.1,400,"Santiago Del Estero, Argentina",2009-11-19 10:42:34.340,11,19,2009
2.973,128.214,35.0,5.4,449,"Halmahera, Indonesia",2009-11-19 01:14:39.980,11,19,2009
-9.29,107.506,40.9,5.2,416,"south of Java, Indonesia",2009-11-18 02:17:10.560,11,18,2009
-53.965,6.484,10.0,5.5,465,Bouvet Island region,2009-11-18 01:42:47.740,11,18,2009
52.102,-131.572,10.0,5.8,523,"Haida Gwaii, Canada",2009-11-17 15:37:42.290,11,17,2009
52.123,-131.395,17.0,6.6,722,"Haida Gwaii, Canada",2009-11-17 15:30:47.440,11,17,2009
5.877,127.042,109.8,5.2,416,Philippine Islands region,2009-11-17 00:39:09.260,11,17,2009
-19.556,-70.365,30.4,5.2,418,"near the coast of Tarapaca, Chile",2009-11-16 18:34:24.860,11,16,2009
-4.187,-104.354,10.0,5.1,400,central East Pacific Rise,2009-11-16 13:35:24.380,11,16,2009
-14.444,167.254,212.2,5.3,432,Vanuatu,2009-11-16 05:56:15.480,11,16,2009
3.289,-82.86,25.0,5.2,416,south of Panama,2009-11-15 17:36:48.900,11,15,2009
53.828,-35.1,10.0,5.1,400,Reykjanes Ridge,2009-11-15 13:58:05.630,11,15,2009
53.829,-35.148,10.0,5.0,385,Reykjanes Ridge,2009-11-15 13:52:31.570,11,15,2009
53.85,-35.182,10.0,5.4,449,Reykjanes Ridge,2009-11-15 13:10:58.480,11,15,2009
-6.665,155.123,71.1,5.0,385,"Bougainville region, Papua New Guinea",2009-11-15 05:05:50.840,11,15,2009
-54.916,-120.45,10.0,5.1,400,southern East Pacific Rise,2009-11-15 01:51:35.900,11,15,2009
5.987,61.212,10.0,5.3,432,Carlsberg Ridge,2009-11-14 22:11:37.810,11,14,2009
5.903,61.224,10.0,5.3,432,Carlsberg Ridge,2009-11-14 22:02:45.510,11,14,2009
-22.965,-66.641,220.4,6.2,595,"Jujuy, Argentina",2009-11-14 19:44:29.930,11,14,2009
-12.1,166.293,32.7,5.1,400,Santa Cruz Islands,2009-11-14 10:19:47.270,11,14,2009
-12.201,166.245,19.1,5.6,482,Santa Cruz Islands,2009-11-14 09:50:45.510,11,14,2009
-6.779,29.823,10.0,5.3,441,"Lake Tanganyika region, Dem. Republic of the Congo-Tanzania",2009-11-14 04:50:17.290,11,14,2009
-6.852,29.841,10.0,5.4,449,"Lake Tanganyika region, Dem. Republic of the Congo-Tanzania",2009-11-14 04:47:02.630,11,14,2009
-38.493,-15.649,10.0,5.1,400,Tristan da Cunha region,2009-11-14 00:51:33.210,11,14,2009
52.458,-168.366,39.8,5.2,416,"Fox Islands, Aleutian Islands, Alaska",2009-11-13 21:01:48.430,11,13,2009
-38.5,-15.5,10.0,5.1,400,Tristan da Cunha region,2009-11-13 20:40:32.000,11,13,2009
-16.071,-172.738,10.0,5.3,432,Samoa Islands region,2009-11-13 17:22:02.700,11,13,2009
-12.033,166.109,35.0,5.0,385,Santa Cruz Islands,2009-11-13 12:40:54.890,11,13,2009
18.087,145.72,152.6,5.2,416,"Pagan region, Northern Mariana Islands",2009-11-13 09:33:46.180,11,13,2009
-17.917,-64.095,608.0,5.8,518,"Santa Cruz, Bolivia",2009-11-13 07:27:13.360,11,13,2009
-19.394,-70.321,27.0,6.5,693,"near the coast of Tarapaca, Chile",2009-11-13 03:05:57.220,11,13,2009
-4.731,103.121,69.2,5.4,449,"southern Sumatra, Indonesia",2009-11-12 19:39:16.340,11,12,2009
-5.869,104.276,50.3,5.0,385,"southern Sumatra, Indonesia",2009-11-12 12:53:06.130,11,12,2009
0.347,98.418,52.1,5.0,385,"Nias region, Indonesia",2009-11-12 04:06:55.640,11,12,2009
-20.979,-178.662,570.6,5.8,518,Fiji region,2009-11-12 02:13:37.580,11,12,2009
-7.954,118.981,35.0,5.0,385,Flores Sea,2009-11-11 22:01:16.880,11,11,2009
9.358,125.531,23.6,5.7,526,"Mindanao, Philippines",2009-11-11 13:48:19.240,11,11,2009
-19.651,-69.12,107.1,5.0,385,"Tarapaca, Chile",2009-11-11 09:58:37.660,11,11,2009
37.505,20.358,10.0,5.3,433,Ionian Sea,2009-11-11 09:51:06.540,11,11,2009
9.323,125.486,39.7,5.2,416,"Mindanao, Philippines",2009-11-10 22:27:35.950,11,10,2009
8.082,91.899,23.0,6.0,554,"Nicobar Islands, India region",2009-11-10 02:48:46.790,11,10,2009
-41.071,44.416,10.0,5.1,400,Crozet Islands region,2009-11-10 00:45:53.960,11,10,2009
52.39,-168.604,32.1,5.0,385,"Fox Islands, Aleutian Islands, Alaska",2009-11-10 00:29:42.360,11,10,2009
-4.466,144.31,139.7,5.7,500,"near the north coast of New Guinea, Papua New Guinea",2009-11-09 16:02:41.090,11,9,2009
-17.239,178.331,595.0,7.3,820,Fiji,2009-11-09 10:44:55.110,11,9,2009
-24.665,-176.007,45.7,5.0,385,south of the Fiji Islands,2009-11-09 06:19:14.590,11,9,2009
52.3,-168.493,31.1,5.1,400,"Fox Islands, Aleutian Islands, Alaska",2009-11-09 01:14:00.130,11,9,2009
-43.462,39.613,10.0,5.5,465,Prince Edward Islands region,2009-11-09 00:21:38.940,11,9,2009
52.307,-168.454,33.7,5.3,432,"Fox Islands, Aleutian Islands, Alaska",2009-11-08 23:05:19.320,11,8,2009
-22.726,-175.863,43.8,5.2,416,Tonga region,2009-11-08 22:18:26.360,11,8,2009
6.7,60.263,10.0,5.6,482,Carlsberg Ridge,2009-11-08 20:35:21.430,11,8,2009
-8.207,118.631,18.0,6.6,674,"Sumbawa region, Indonesia",2009-11-08 19:41:43.360,11,8,2009
-22.501,-175.663,35.0,5.4,449,Tonga region,2009-11-08 15:46:38.540,11,8,2009
-16.008,167.993,179.4,5.5,465,Vanuatu,2009-11-08 15:46:09.220,11,8,2009
