Lat,Lng,Depth,Mag,MMI,Sig,Felt,Place,Time,Month,Day,Year
-23.407,-179.802,551.0,6.3,,611,,south of the Fiji Islands,2010-12-28 08:34:17.550,12,28,2010
-19.282,168.017,10.0,5.0,,385,,Vanuatu,2010-12-28 06:54:46.860,12,28,2010
-52.919,27.317,10.0,5.0,,385,,south of Africa,2010-12-28 02:47:11.110,12,28,2010
-19.378,168.069,10.0,5.2,,416,,Vanuatu,2010-12-28 02:20:29.680,12,28,2010
27.18,143.513,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-28 00:26:38.610,12,28,2010
-20.056,168.214,14.1,5.1,,400,,"Loyalty Islands, New Caledonia",2010-12-27 21:36:41.590,12,27,2010
-19.864,168.219,10.0,5.2,,416,,Vanuatu,2010-12-27 20:33:15.780,12,27,2010
-19.311,167.96,10.0,5.5,,465,,Vanuatu region,2010-12-27 19:40:12.650,12,27,2010
-50.811,139.375,10.0,5.6,,482,,western Indian-Antarctic Ridge,2010-12-27 17:02:32.880,12,27,2010
-19.086,167.926,10.0,5.1,,400,,Vanuatu region,2010-12-27 16:43:48.440,12,27,2010
-50.808,139.237,10.0,5.3,,432,,western Indian-Antarctic Ridge,2010-12-27 15:27:26.540,12,27,2010
50.911,-176.009,24.7,5.0,,385,,"Andreanof Islands, Aleutian Islands, Alaska",2010-12-27 11:36:26.460,12,27,2010
-19.732,168.369,10.0,5.0,,385,,Vanuatu,2010-12-27 09:00:20.440,12,27,2010
51.027,-175.973,13.5,5.0,,385,,"Andreanof Islands, Aleutian Islands, Alaska",2010-12-27 07:47:00.090,12,27,2010
-22.916,-176.407,106.9,5.3,,432,,south of the Fiji Islands,2010-12-27 06:41:48.540,12,27,2010
-19.59,167.94,10.0,5.2,,416,,Vanuatu region,2010-12-27 05:44:10.790,12,27,2010
51.048,-176.105,15.7,5.0,,385,,"Andreanof Islands, Aleutian Islands, Alaska",2010-12-27 03:38:23.410,12,27,2010
-19.359,167.802,10.0,5.0,,385,,Vanuatu region,2010-12-27 01:51:25.240,12,27,2010
10.734,-61.635,54.3,5.0,,385,,"Trinidad region, Trinidad and Tobago",2010-12-27 01:00:14.330,12,27,2010
-2.494,-11.975,10.0,5.0,,385,,north of Ascension Island,2010-12-27 00:48:36.540,12,27,2010
-19.8,167.756,9.1,5.0,,385,,Vanuatu region,2010-12-26 23:32:11.000,12,26,2010
-19.636,168.261,10.0,5.5,,465,,Vanuatu,2010-12-26 19:38:21.440,12,26,2010
-19.842,168.213,10.0,5.0,,385,,Vanuatu,2010-12-26 13:34:04.300,12,26,2010
51.144,-176.205,19.2,5.3,,432,,"Andreanof Islands, Aleutian Islands, Alaska",2010-12-26 12:24:15.700,12,26,2010
-19.486,168.088,10.0,5.3,,432,,Vanuatu,2010-12-26 10:33:12.340,12,26,2010
-19.927,168.13,10.0,5.2,,416,,Vanuatu,2010-12-26 10:00:00.250,12,26,2010
27.007,143.738,10.0,5.3,,432,,"Bonin Islands, Japan region",2010-12-26 09:10:59.690,12,26,2010
27.178,143.298,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-26 07:44:03.080,12,26,2010
51.085,-176.186,34.0,5.2,,416,,"Andreanof Islands, Aleutian Islands, Alaska",2010-12-26 06:32:34.700,12,26,2010
-19.742,168.207,10.0,5.4,,449,,Vanuatu,2010-12-26 06:17:57.420,12,26,2010
-19.616,168.284,13.0,6.0,,554,,Vanuatu,2010-12-26 02:13:37.680,12,26,2010
-19.937,168.181,10.0,5.3,,432,,Vanuatu,2010-12-26 01:00:21.190,12,26,2010
-19.506,168.101,10.0,5.1,,400,,Vanuatu,2010-12-26 00:12:37.020,12,26,2010
-21.083,168.129,10.0,5.0,,385,,"Loyalty Islands, New Caledonia",2010-12-26 00:12:34.050,12,26,2010
27.135,143.313,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-26 00:00:53.460,12,26,2010
-19.648,168.014,10.0,5.1,,400,,Vanuatu,2010-12-25 23:20:22.480,12,25,2010
-19.342,167.933,23.8,5.0,,385,,Vanuatu region,2010-12-25 22:41:31.130,12,25,2010
-19.833,168.096,10.0,5.2,,416,,Vanuatu,2010-12-25 22:26:02.080,12,25,2010
6.003,127.431,74.9,5.1,,400,,Philippine Islands region,2010-12-25 21:16:52.170,12,25,2010
51.118,-176.155,10.0,5.4,,449,,"Andreanof Islands, Aleutian Islands, Alaska",2010-12-25 20:20:33.650,12,25,2010
51.115,-176.162,10.0,5.6,,482,,"Andreanof Islands, Aleutian Islands, Alaska",2010-12-25 19:42:23.700,12,25,2010
-19.323,167.975,10.0,5.3,,432,,Vanuatu region,2010-12-25 18:52:30.820,12,25,2010
-19.808,168.272,10.0,5.2,,416,,Vanuatu,2010-12-25 18:40:15.790,12,25,2010
-19.66,168.224,10.0,5.4,,449,,Vanuatu,2010-12-25 18:38:49.180,12,25,2010
-19.469,168.066,10.0,5.0,,385,,Vanuatu,2010-12-25 18:28:23.700,12,25,2010
27.004,143.393,10.0,5.2,,416,,"Bonin Islands, Japan region",2010-12-25 17:40:11.030,12,25,2010
-19.396,167.947,10.0,5.1,,400,,Vanuatu region,2010-12-25 17:11:41.900,12,25,2010
-19.318,167.942,10.0,5.1,,400,,Vanuatu region,2010-12-25 17:02:27.160,12,25,2010
-19.291,167.97,10.0,5.2,,416,,Vanuatu region,2010-12-25 16:53:57.010,12,25,2010
-19.636,167.987,10.0,5.2,,416,,Vanuatu region,2010-12-25 16:47:35.280,12,25,2010
-19.321,167.928,10.0,5.0,,385,,Vanuatu region,2010-12-25 16:22:11.600,12,25,2010
26.78,143.93,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-25 16:05:58.610,12,25,2010
-19.678,167.955,10.0,5.2,,416,,Vanuatu region,2010-12-25 15:28:34.310,12,25,2010
-19.467,168.023,10.0,5.3,,432,,Vanuatu,2010-12-25 15:26:18.300,12,25,2010
-19.361,167.973,10.0,5.1,,400,,Vanuatu region,2010-12-25 15:04:16.430,12,25,2010
-19.361,167.954,10.0,5.4,,449,,Vanuatu region,2010-12-25 14:44:35.980,12,25,2010
27.067,143.385,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-25 14:18:58.450,12,25,2010
27.084,143.429,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-25 14:09:52.090,12,25,2010
27.082,143.363,10.0,5.3,,432,,"Bonin Islands, Japan region",2010-12-25 14:04:04.110,12,25,2010
-19.307,168.002,10.0,5.5,,465,,Vanuatu,2010-12-25 13:59:02.040,12,25,2010
-19.467,167.919,10.0,5.3,,432,,Vanuatu region,2010-12-25 13:27:45.290,12,25,2010
-19.702,167.947,16.0,7.3,4.527,820,,Vanuatu region,2010-12-25 13:16:37.000,12,25,2010
-36.83,177.1,229.7,5.0,,385,,off the east coast of the North Island of New Zealand,2010-12-25 11:59:40.400,12,25,2010
26.787,143.577,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-25 11:41:05.750,12,25,2010
26.839,143.935,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-25 06:48:19.760,12,25,2010
25.538,141.123,19.7,5.2,,416,,"Volcano Islands, Japan region",2010-12-25 05:55:23.400,12,25,2010
18.26,-66.135,102.9,5.1,5.34,940,1796.0,Puerto Rico,2010-12-24 23:43:44.860,12,24,2010
46.37,151.069,100.9,5.0,,385,,Kuril Islands,2010-12-24 23:42:21.620,12,24,2010
11.53,-86.857,66.2,5.0,,385,,near the coast of Nicaragua,2010-12-24 18:44:57.000,12,24,2010
27.035,143.309,10.0,5.3,,432,,"Bonin Islands, Japan region",2010-12-24 17:28:23.250,12,24,2010
27.056,143.245,10.5,5.1,,400,,"Bonin Islands, Japan region",2010-12-24 17:27:37.280,12,24,2010
-63.592,-167.354,4.0,5.9,,536,,Pacific-Antarctic Ridge,2010-12-24 05:48:52.990,12,24,2010
52.881,171.094,23.2,5.0,,385,,"Near Islands, Aleutian Islands, Alaska",2010-12-24 00:39:22.830,12,24,2010
-19.847,168.531,10.0,5.0,,385,,Vanuatu,2010-12-24 00:05:34.670,12,24,2010
-1.905,67.969,10.0,5.0,,385,,Carlsberg Ridge,2010-12-23 17:26:32.440,12,23,2010
18.961,145.841,115.6,5.1,,400,,"Pagan region, Northern Mariana Islands",2010-12-23 16:30:55.110,12,23,2010
-7.999,119.951,206.8,5.5,,465,,Flores Sea,2010-12-23 16:28:14.780,12,23,2010
-19.908,168.596,39.3,5.6,,482,,Vanuatu,2010-12-23 16:28:14.240,12,23,2010
-19.723,168.469,58.6,5.3,,432,,Vanuatu,2010-12-23 16:01:34.420,12,23,2010
26.896,143.84,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-23 14:30:40.860,12,23,2010
53.127,171.161,18.0,6.4,,630,,"Near Islands, Aleutian Islands, Alaska",2010-12-23 14:00:32.330,12,23,2010
-18.309,-173.982,10.0,5.1,,400,,Tonga,2010-12-23 11:55:24.560,12,23,2010
27.182,143.396,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-23 01:46:26.710,12,23,2010
27.248,143.333,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-23 01:35:52.410,12,23,2010
3.931,95.916,41.8,5.4,,449,,off the west coast of northern Sumatra,2010-12-23 00:01:37.690,12,23,2010
-2.789,141.476,14.6,5.2,,416,,"near the north coast of New Guinea, Papua New Guinea",2010-12-22 23:25:07.170,12,22,2010
26.895,143.743,17.9,5.0,,385,,"Bonin Islands, Japan region",2010-12-22 22:16:52.520,12,22,2010
26.81,143.595,18.0,6.4,,630,,"Bonin Islands, Japan region",2010-12-22 21:49:40.080,12,22,2010
-39.293,46.276,10.0,5.4,,449,,Southwest Indian Ridge,2010-12-22 20:40:28.490,12,22,2010
-13.461,-111.614,10.0,5.1,,400,,central East Pacific Rise,2010-12-22 14:02:43.520,12,22,2010
27.039,143.311,14.4,5.2,,416,,"Bonin Islands, Japan region",2010-12-22 13:01:13.990,12,22,2010
26.999,143.293,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-22 12:26:39.650,12,22,2010
27.02,143.295,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-22 12:26:28.540,12,22,2010
26.944,143.413,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-22 10:30:07.330,12,22,2010
26.975,143.44,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-22 10:29:32.640,12,22,2010
27.196,143.273,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-22 10:07:45.440,12,22,2010
27.065,143.504,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-22 08:07:05.590,12,22,2010
26.869,143.538,3.5,5.2,,416,,"Bonin Islands, Japan region",2010-12-22 07:51:44.580,12,22,2010
26.9,143.584,17.6,5.1,,400,,"Bonin Islands, Japan region",2010-12-22 06:10:38.740,12,22,2010
-20.75,173.75,10.0,5.1,,400,,Vanuatu region,2010-12-22 06:08:56.000,12,22,2010
26.734,143.576,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-22 05:38:48.630,12,22,2010
-4.966,-11.674,10.0,5.1,,400,,north of Ascension Island,2010-12-22 04:03:43.430,12,22,2010
27.121,143.363,10.0,5.2,,416,,"Bonin Islands, Japan region",2010-12-22 03:21:06.430,12,22,2010
26.819,143.763,10.0,5.4,,449,,"Bonin Islands, Japan region",2010-12-22 03:02:11.850,12,22,2010
26.721,143.669,3.1,5.4,,449,,"Bonin Islands, Japan region",2010-12-22 01:36:30.080,12,22,2010
26.669,143.535,10.0,5.6,,482,,"Bonin Islands, Japan region",2010-12-22 01:31:17.860,12,22,2010
26.732,143.719,11.5,5.4,,449,,"Bonin Islands, Japan region",2010-12-22 01:16:43.950,12,22,2010
26.73,143.466,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 23:38:54.130,12,21,2010
26.777,143.547,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-21 22:19:58.190,12,21,2010
26.714,143.909,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 22:17:45.400,12,21,2010
26.928,143.408,12.5,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 22:08:01.410,12,21,2010
26.613,143.497,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 21:33:50.100,12,21,2010
26.801,143.484,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 21:22:34.730,12,21,2010
26.771,143.581,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 20:59:33.670,12,21,2010
26.685,143.685,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 20:52:25.320,12,21,2010
27.131,143.577,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 20:36:58.420,12,21,2010
26.975,143.653,10.0,5.2,,416,,"Bonin Islands, Japan region",2010-12-21 20:36:03.370,12,21,2010
27.114,143.392,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 20:35:25.700,12,21,2010
27.096,143.236,10.0,5.6,,482,,"Bonin Islands, Japan region",2010-12-21 20:18:43.490,12,21,2010
27.085,143.514,3.3,5.3,,432,,"Bonin Islands, Japan region",2010-12-21 20:16:38.570,12,21,2010
27.191,143.486,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 19:40:24.970,12,21,2010
27.06,143.326,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-21 18:41:38.580,12,21,2010
26.695,143.699,5.1,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 18:32:53.570,12,21,2010
-34.576,-179.535,10.0,5.0,,385,,south of the Kermadec Islands,2010-12-21 18:31:28.270,12,21,2010
27.23,143.387,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 18:03:40.390,12,21,2010
27.204,143.406,8.8,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 18:00:36.480,12,21,2010
27.184,143.358,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 17:56:01.270,12,21,2010
27.203,143.455,10.0,5.3,,432,,"Bonin Islands, Japan region",2010-12-21 17:53:22.520,12,21,2010
27.081,143.308,7.6,5.5,,465,,"Bonin Islands, Japan region",2010-12-21 17:41:25.990,12,21,2010
27.08,143.215,10.0,5.5,,465,,"Bonin Islands, Japan region",2010-12-21 17:40:47.590,12,21,2010
27.276,143.752,10.0,5.2,,416,,"Bonin Islands, Japan region",2010-12-21 17:39:36.210,12,21,2010
27.217,143.432,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-21 17:39:05.690,12,21,2010
27.155,143.483,10.0,5.1,,400,,"Bonin Islands, Japan region",2010-12-21 17:35:09.930,12,21,2010
27.094,143.585,10.0,5.0,,385,,"Bonin Islands, Japan region",2010-12-21 17:34:40.970,12,21,2010
26.961,143.088,10.0,5.2,,416,,"Bonin Islands, Japan region",2010-12-21 17:33:20.720,12,21,2010
27.104,143.449,10.0,5.3,,432,,"Bonin Islands, Japan region",2010-12-21 17:29:30.430,12,21,2010
26.901,143.698,14.0,7.4,,849,18.0,"Bonin Islands, Japan region",2010-12-21 17:19:40.660,12,21,2010
2.715,95.893,21.0,5.8,5.601,518,,"Simeulue, Indonesia",2010-12-21 14:07:48.290,12,21,2010
-15.476,-173.72,10.0,5.1,,400,,Tonga,2010-12-21 14:03:26.600,12,21,2010
-8.7,111.197,54.6,5.6,,482,,"Java, Indonesia",2010-12-21 03:59:38.350,12,21,2010
-18.805,-173.342,46.7,5.3,,432,,Tonga,2010-12-20 22:13:07.180,12,20,2010
16.962,147.232,43.9,5.0,,385,,Mariana Islands region,2010-12-20 20:29:34.690,12,20,2010
28.412,59.18,12.0,6.7,6.755,694,10.0,southeastern Iran,2010-12-20 18:41:59.200,12,20,2010
-17.016,-177.048,35.0,5.1,,400,,Fiji region,2010-12-20 17:43:42.150,12,20,2010
12.995,-88.64,72.3,5.7,4.238,500,,offshore El Salvador,2010-12-20 17:21:26.180,12,20,2010
10.171,-103.977,10.0,5.9,,536,,northern East Pacific Rise,2010-12-20 15:15:08.670,12,20,2010
10.402,126.155,10.0,5.0,,385,,Philippine Islands region,2010-12-20 04:27:32.970,12,20,2010
18.521,145.672,168.6,5.1,,400,,"Pagan region, Northern Mariana Islands",2010-12-19 22:25:05.000,12,19,2010
51.149,-176.168,25.7,5.2,,416,,"Andreanof Islands, Aleutian Islands, Alaska",2010-12-19 22:11:33.340,12,19,2010
-12.692,167.541,35.0,5.0,,385,,Santa Cruz Islands,2010-12-19 20:43:35.280,12,19,2010
-41.483,-89.159,10.0,5.0,,385,,southeast of Easter Island,2010-12-19 15:52:53.770,12,19,2010
7.521,37.839,10.0,5.1,4.5,400,,Ethiopia,2010-12-19 12:14:24.510,12,19,2010
38.391,73.679,124.3,5.2,,416,,Tajikistan,2010-12-19 11:51:54.910,12,19,2010
-56.97,-140.803,10.0,5.2,,416,,Pacific-Antarctic Ridge,2010-12-19 09:48:46.920,12,19,2010
53.477,-163.181,25.8,5.0,,385,,"Unimak Island region, Alaska",2010-12-19 04:52:51.340,12,19,2010
5.42,94.667,55.2,5.0,,385,,"northern Sumatra, Indonesia",2010-12-18 22:56:43.080,12,18,2010
-14.131,-173.306,30.7,5.9,,536,,Samoa Islands region,2010-12-18 22:24:18.000,12,18,2010
-5.488,147.339,198.5,5.1,,400,,"eastern New Guinea region, Papua New Guinea",2010-12-18 14:35:25.450,12,18,2010
18.503,146.464,35.0,5.3,,432,,"Pagan region, Northern Mariana Islands",2010-12-18 14:02:18.850,12,18,2010
-56.955,-142.056,10.0,5.3,,432,,Pacific-Antarctic Ridge,2010-12-18 07:58:39.190,12,18,2010
10.399,126.08,10.0,5.0,,385,,Philippine Islands region,2010-12-18 06:11:46.860,12,18,2010
37.28,20.22,24.0,5.0,,385,,Ionian Sea,2010-12-18 06:05:41.500,12,18,2010
10.409,126.156,14.0,5.6,3.9,482,,Philippine Islands region,2010-12-18 05:06:21.690,12,18,2010
-8.501,-71.46,568.2,5.2,,416,,"Acre, Brazil",2010-12-17 22:14:26.690,12,17,2010
-6.48,129.996,154.9,5.5,,465,,Banda Sea,2010-12-17 13:22:45.380,12,17,2010
-55.256,-129.917,10.0,5.4,,449,,Pacific-Antarctic Ridge,2010-12-17 12:42:02.720,12,17,2010
19.517,-108.947,10.0,5.3,,432,,Revilla Gigedo Islands region,2010-12-17 04:12:12.490,12,17,2010
-56.535,147.031,10.0,5.0,,385,,west of Macquarie Island,2010-12-17 00:11:30.150,12,17,2010
-3.105,129.735,47.6,5.0,,385,,"Seram, Indonesia",2010-12-16 21:42:59.140,12,16,2010
-6.324,149.315,55.1,5.0,,385,,"New Britain region, Papua New Guinea",2010-12-16 18:26:05.370,12,16,2010
-22.517,169.51,47.9,5.0,,385,,southeast of the Loyalty Islands,2010-12-16 14:03:06.420,12,16,2010
-10.786,-73.459,113.6,5.3,,432,,central Peru,2010-12-16 07:11:58.440,12,16,2010
-30.365,-178.024,35.6,5.2,,416,,"Kermadec Islands, New Zealand",2010-12-16 02:10:23.640,12,16,2010
-17.679,-69.143,136.6,5.1,,400,,"La Paz, Bolivia",2010-12-15 18:22:23.540,12,15,2010
53.918,158.366,191.2,5.0,,385,,"near the east coast of the Kamchatka Peninsula, Russia",2010-12-15 14:38:52.450,12,15,2010
-26.781,178.607,629.5,5.0,,385,,south of the Fiji Islands,2010-12-15 12:03:33.620,12,15,2010
-7.268,128.786,134.9,6.0,,554,,"Kepulauan Barat Daya, Indonesia",2010-12-15 11:29:30.840,12,15,2010
-37.31,78.169,10.0,5.3,,432,,Mid-Indian Ridge,2010-12-15 04:23:03.670,12,15,2010
-23.061,-114.407,10.0,5.0,,385,,Easter Island region,2010-12-14 21:14:14.970,12,14,2010
3.824,-32.563,10.0,5.0,,385,,central Mid-Atlantic Ridge,2010-12-14 19:11:41.480,12,14,2010
52.001,-169.351,13.2,5.0,,385,,"Fox Islands, Aleutian Islands, Alaska",2010-12-14 17:06:03.600,12,14,2010
52.175,-169.412,30.9,5.3,,432,,"Fox Islands, Aleutian Islands, Alaska",2010-12-14 14:33:27.220,12,14,2010
-32.339,-179.565,12.0,5.3,,432,,south of the Kermadec Islands,2010-12-14 01:16:18.820,12,14,2010
-33.989,-73.08,29.3,5.2,,416,,"off the coast of Valparaiso, Chile",2010-12-13 18:51:05.360,12,13,2010
-8.092,119.812,191.2,5.4,,449,,"Flores region, Indonesia",2010-12-13 13:30:50.180,12,13,2010
39.419,-29.615,10.0,5.0,,385,,"Azores Islands, Portugal",2010-12-13 09:44:53.180,12,13,2010
-6.259,104.008,42.8,5.7,,500,,"Sunda Strait, Indonesia",2010-12-13 09:18:32.360,12,13,2010
-18.442,-174.624,109.0,5.1,,400,,Tonga,2010-12-13 08:56:47.060,12,13,2010
27.478,129.319,29.5,5.0,,385,,"Ryukyu Islands, Japan",2010-12-13 05:19:47.650,12,13,2010
-6.534,155.647,135.8,6.2,4.363,591,,"Bougainville region, Papua New Guinea",2010-12-13 01:14:42.320,12,13,2010
-28.098,-177.106,35.0,5.6,,482,,Kermadec Islands region,2010-12-12 17:50:36.820,12,12,2010
-5.971,117.707,31.1,5.4,,449,,Java Sea,2010-12-12 15:59:19.660,12,12,2010
-6.263,150.388,10.0,5.2,,416,,"New Britain region, Papua New Guinea",2010-12-12 15:40:57.210,12,12,2010
-6.297,150.352,10.0,5.2,,416,,"New Britain region, Papua New Guinea",2010-12-12 14:54:27.140,12,12,2010
-6.366,150.265,25.2,5.4,,449,,"New Britain region, Papua New Guinea",2010-12-12 14:53:10.520,12,12,2010
32.344,69.661,53.6,5.0,,385,,Afghanistan-Pakistan border region,2010-12-12 12:08:57.960,12,12,2010
-5.558,149.847,35.0,5.0,,385,,"New Britain region, Papua New Guinea",2010-12-12 05:58:42.830,12,12,2010
-3.456,146.016,14.9,5.1,,400,,Bismarck Sea,2010-12-11 22:11:06.350,12,11,2010
-56.83,-25.411,46.5,5.0,,385,,South Sandwich Islands region,2010-12-11 20:35:02.600,12,11,2010
-25.311,-176.314,23.5,5.0,,385,,south of the Fiji Islands,2010-12-11 17:13:32.120,12,11,2010
30.424,69.462,28.0,5.0,,385,,Pakistan,2010-12-11 15:34:30.290,12,11,2010
11.927,43.983,10.0,5.0,,385,,Djibouti region,2010-12-11 14:06:25.480,12,11,2010
-21.811,-179.353,601.2,5.6,,482,,Fiji region,2010-12-11 13:43:20.570,12,11,2010
52.88,162.382,32.1,5.0,,385,,"off the east coast of the Kamchatka Peninsula, Russia",2010-12-11 10:49:59.280,12,11,2010
0.257,122.031,210.0,5.1,,400,,"Minahasa, Sulawesi, Indonesia",2010-12-11 07:58:43.170,12,11,2010
-6.064,148.554,76.6,5.1,,400,,"New Britain region, Papua New Guinea",2010-12-11 07:23:17.550,12,11,2010
23.863,-45.733,10.0,5.5,,465,,northern Mid-Atlantic Ridge,2010-12-10 17:48:21.500,12,10,2010
-62.897,165.947,10.0,5.3,,432,,Balleny Islands region,2010-12-10 14:59:11.470,12,10,2010
-37.372,78.078,10.0,5.2,,416,,Mid-Indian Ridge,2010-12-10 10:13:43.410,12,10,2010
-20.317,-177.961,558.2,5.2,,416,,Fiji region,2010-12-10 09:23:08.680,12,10,2010
31.53,70.083,14.1,5.4,,449,,Pakistan,2010-12-09 23:17:32.990,12,9,2010
-56.4,-25.725,10.0,5.4,,449,,South Sandwich Islands region,2010-12-09 14:40:07.910,12,9,2010
-7.148,125.124,537.5,5.0,,385,,"Kepulauan Barat Daya, Indonesia",2010-12-09 04:04:06.540,12,9,2010
-56.339,-25.515,30.2,5.0,,385,,South Sandwich Islands region,2010-12-08 19:05:44.560,12,8,2010
-56.397,-25.477,24.0,5.0,,385,,South Sandwich Islands region,2010-12-08 18:10:58.710,12,8,2010
-19.862,-174.413,17.8,5.1,,400,,Tonga,2010-12-08 17:18:58.350,12,8,2010
-56.338,-25.415,10.0,5.0,,385,,South Sandwich Islands region,2010-12-08 16:06:09.750,12,8,2010
-56.253,-25.388,10.0,5.0,,385,,South Sandwich Islands region,2010-12-08 16:05:08.960,12,8,2010
-6.686,129.898,171.9,5.5,,465,,Banda Sea,2010-12-08 15:31:05.820,12,8,2010
-22.468,-176.291,146.2,5.2,,416,,south of the Fiji Islands,2010-12-08 14:41:25.670,12,8,2010
-30.993,-177.78,26.1,5.0,,385,,"Kermadec Islands, New Zealand",2010-12-08 11:09:24.860,12,8,2010
-32.255,-179.532,36.9,5.4,,449,,south of the Kermadec Islands,2010-12-08 09:18:47.610,12,8,2010
39.358,72.86,10.0,5.5,6.116,465,,Kyrgyzstan,2010-12-08 08:21:33.530,12,8,2010
7.481,126.505,53.1,5.9,5.053,549,27.0,"Mindanao, Philippines",2010-12-08 06:47:15.880,12,8,2010
-56.398,-25.573,32.6,5.3,,432,,South Sandwich Islands region,2010-12-08 05:49:51.400,12,8,2010
-56.424,-25.524,25.4,5.0,,385,,South Sandwich Islands region,2010-12-08 05:46:08.360,12,8,2010
-56.412,-25.741,29.4,6.3,,611,,South Sandwich Islands region,2010-12-08 05:24:35.260,12,8,2010
